nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=5000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/3317pa9k
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211214_134615-3317pa9k
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1565.777 | Updates  137 | Remaining time  6.75 hours
Episode  238 | Return  -120.965 | Updates  200 | Remaining time  5.03 hours
Episode  239 | Return  -347.148 | Updates  200 | Remaining time  5.03 hours
Episode  240 | Return  -119.559 | Updates  200 | Remaining time  5.03 hours
Episode  241 | Return  -233.183 | Updates  200 | Remaining time  5.02 hours
Episode  242 | Return  -238.718 | Updates  200 | Remaining time  5.02 hours
Episode  243 | Return  -244.061 | Updates  200 | Remaining time  5.02 hours
Episode  244 | Return  -127.965 | Updates  200 | Remaining time  5.02 hours
Episode  245 | Return  -121.846 | Updates  200 | Remaining time  5.02 hours
Episode  246 | Return  -121.206 | Updates  200 | Remaining time  5.02 hours
Episode  247 | Return  -229.902 | Updates  200 | Remaining time  5.02 hours
Episode  248 | Return  -229.701 | Updates  200 | Remaining time  5.02 hours
Episode  249 | Return  -252.209 | Updates  200 | Remaining time  5.01 hours
Episode  250 | Return  -115.279 | Updates  200 | Remaining time  5.01 hours
Episode  251 | Return  -127.769 | Updates  200 | Remaining time  5.01 hours
Episode  252 | Return  -127.220 | Updates  200 | Remaining time  5.01 hours
Episode  253 | Return  -230.593 | Updates  200 | Remaining time  5.01 hours
Episode  254 | Return  -119.251 | Updates  200 | Remaining time  5.01 hours
Episode  255 | Return  -124.660 | Updates  200 | Remaining time  5.01 hours
Episode  256 | Return  -120.641 | Updates  200 | Remaining time  5.01 hours
Episode  257 | Return  -249.890 | Updates  200 | Remaining time  5.01 hours
Episode  258 | Return  -323.420 | Updates  200 | Remaining time  5.01 hours
Episode  259 | Return  -125.687 | Updates  200 | Remaining time  5.01 hours
Episode  260 | Return  -127.403 | Updates  200 | Remaining time  5.01 hours
Episode  261 | Return  -362.787 | Updates  200 | Remaining time  5.01 hours
Episode  262 | Return  -348.552 | Updates  200 | Remaining time  5.00 hours
Episode  263 | Return  -132.487 | Updates  200 | Remaining time  5.01 hours
Episode  264 | Return  -131.945 | Updates  200 | Remaining time  5.00 hours
Episode  265 | Return  -130.669 | Updates  200 | Remaining time  5.00 hours
Episode  266 | Return  -132.682 | Updates  200 | Remaining time  5.00 hours
Episode  267 | Return  -238.183 | Updates  200 | Remaining time  5.00 hours
Episode  268 | Return  -238.070 | Updates  200 | Remaining time  5.00 hours
Episode  269 | Return  -253.383 | Updates  200 | Remaining time  4.99 hours
Episode  270 | Return  -132.731 | Updates  200 | Remaining time  4.99 hours
Episode  271 | Return   -11.955 | Updates  200 | Remaining time  4.99 hours
Episode  272 | Return  -128.784 | Updates  200 | Remaining time  4.99 hours
Episode  273 | Return  -239.633 | Updates  200 | Remaining time  4.99 hours
Episode  274 | Return  -318.290 | Updates  200 | Remaining time  4.99 hours
Episode  275 | Return   -12.442 | Updates  200 | Remaining time  4.99 hours
Episode  276 | Return  -124.541 | Updates  200 | Remaining time  4.99 hours
Episode  277 | Return  -136.276 | Updates  200 | Remaining time  4.99 hours
Episode  278 | Return  -131.796 | Updates  200 | Remaining time  4.99 hours
Episode  279 | Return  -119.898 | Updates  200 | Remaining time  4.99 hours
Episode  280 | Return    -2.249 | Updates  200 | Remaining time  4.99 hours
Episode  281 | Return  -229.102 | Updates  200 | Remaining time  4.98 hours
Episode  282 | Return   -12.487 | Updates  200 | Remaining time  4.98 hours
Episode  283 | Return  -348.361 | Updates  200 | Remaining time  4.98 hours
Episode  284 | Return  -236.913 | Updates  200 | Remaining time  4.98 hours
Episode  285 | Return  -122.761 | Updates  200 | Remaining time  4.99 hours
Episode  286 | Return  -124.261 | Updates  200 | Remaining time  4.99 hours
Episode  287 | Return  -123.559 | Updates  200 | Remaining time  4.99 hours
Episode  288 | Return  -126.908 | Updates  200 | Remaining time  4.99 hours
Episode  289 | Return  -127.538 | Updates  200 | Remaining time  4.99 hours
Episode  290 | Return  -121.865 | Updates  200 | Remaining time  4.99 hours
Episode  291 | Return  -120.059 | Updates  200 | Remaining time  4.99 hours
Episode  292 | Return  -124.687 | Updates  200 | Remaining time  4.99 hours
Episode  293 | Return  -126.958 | Updates  200 | Remaining time  4.99 hours
Episode  294 | Return    -7.022 | Updates  200 | Remaining time  5.00 hours
Episode  295 | Return  -320.578 | Updates  200 | Remaining time  5.00 hours
Episode  296 | Return   -10.155 | Updates  200 | Remaining time  5.00 hours
Episode  297 | Return  -336.050 | Updates  200 | Remaining time  5.00 hours
Episode  298 | Return  -355.762 | Updates  200 | Remaining time  5.00 hours
Episode  299 | Return    -6.361 | Updates  200 | Remaining time  5.00 hours
Episode  300 | Return    -6.415 | Updates  200 | Remaining time  5.00 hours
Episode  301 | Return  -128.798 | Updates  200 | Remaining time  5.00 hours
Episode  302 | Return  -128.920 | Updates  200 | Remaining time  5.00 hours
Episode  303 | Return  -225.398 | Updates  200 | Remaining time  5.00 hours
Episode  304 | Return  -126.271 | Updates  200 | Remaining time  5.00 hours
Episode  305 | Return  -128.193 | Updates  200 | Remaining time  5.00 hours
