nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode  196 | Return  -127.739 | Updates  200 | Remaining time 44.11 hours
Episode  197 | Return   -11.432 | Updates  200 | Remaining time 44.11 hours
Episode  198 | Return  -126.334 | Updates  200 | Remaining time 44.10 hours
Episode  199 | Return   -10.795 | Updates  200 | Remaining time 44.11 hours
Episode  200 | Return  -125.168 | Updates  200 | Remaining time 44.13 hours
Episode  201 | Return  -128.697 | Updates  200 | Remaining time 44.16 hours
Episode  202 | Return  -127.159 | Updates  200 | Remaining time 44.16 hours
Episode  203 | Return  -117.544 | Updates  200 | Remaining time 44.16 hours
Episode  204 | Return  -124.405 | Updates  200 | Remaining time 44.16 hours
Episode  205 | Return  -337.419 | Updates  200 | Remaining time 44.17 hours
Episode  206 | Return  -118.792 | Updates  200 | Remaining time 44.18 hours
Episode  207 | Return  -130.083 | Updates  200 | Remaining time 44.20 hours
Episode  208 | Return  -119.883 | Updates  200 | Remaining time 44.21 hours
Episode  209 | Return  -125.879 | Updates  200 | Remaining time 44.24 hours
Episode  210 | Return    -6.272 | Updates  200 | Remaining time 44.26 hours
Episode  211 | Return  -122.208 | Updates  200 | Remaining time 44.30 hours
Episode  212 | Return  -126.744 | Updates  200 | Remaining time 44.30 hours
Episode  213 | Return  -124.034 | Updates  200 | Remaining time 44.32 hours
Episode  214 | Return  -120.261 | Updates  200 | Remaining time 44.32 hours
